datetime,stock_code,exchange_code,open,high,low,close,volume,count
2023-09-06 09:10:00,JIOFIN,NSE,247,247,247,247,5700,0
2023-09-06 09:15:00,JIOFIN,NSE,248.15,248.35,248.1,248.35,135,1
2023-09-06 09:20:00,JIOFIN,NSE,248.55,251.9,248.55,249.8,37695,2
2023-09-06 09:25:00,JIOFIN,NSE,249.8,251,248.6,249.5,29198,3
2023-09-06 09:30:00,JIOFIN,NSE,249.4,250,248.9,249.25,25190,4
2023-09-06 09:35:00,JIOFIN,NSE,249.25,249.25,247.4,247.8,35342,5
2023-09-06 09:40:00,JIOFIN,NSE,247.8,248.5,247.6,248.4,29085,6
2023-09-06 09:45:00,JIOFIN,NSE,248.4,248.8,248.35,248.65,17398,7
2023-09-06 09:50:00,JIOFIN,NSE,248.65,249,248.4,248.65,3892,8
2023-09-06 09:55:00,JIOFIN,NSE,248.65,248.65,247.65,248.2,22430,9
2023-09-06 10:00:00,JIOFIN,NSE,248.2,249.05,247.85,248.95,18337,10
2023-09-06 10:05:00,JIOFIN,NSE,249,249,248.3,248.5,12814,11
2023-09-06 10:10:00,JIOFIN,NSE,248.5,248.65,248.25,248.55,3869,12
2023-09-06 10:15:00,JIOFIN,NSE,248.55,250.05,248.55,249.8,26090,13
2023-09-06 10:20:00,JIOFIN,NSE,249.8,250,248.95,249.8,20729,14
2023-09-06 10:25:00,JIOFIN,NSE,249.7,250,249.6,249.95,9628,15
2023-09-06 10:30:00,JIOFIN,NSE,249.9,250,249.55,249.65,33254,16
2023-09-06 10:35:00,JIOFIN,NSE,249.65,250,249.65,249.9,14321,17
2023-09-06 10:40:00,JIOFIN,NSE,249.8,252,249.8,251.9,23553,18
2023-09-06 10:45:00,JIOFIN,NSE,252.3,252.8,251.6,252.65,44044,19
2023-09-06 10:50:00,JIOFIN,NSE,252.65,253.3,252.2,253.3,29706,20
2023-09-06 10:55:00,JIOFIN,NSE,253.3,253.7,253,253.3,38164,21
2023-09-06 11:00:00,JIOFIN,NSE,253.25,254.1,253.1,254,46680,22
2023-09-06 11:05:00,JIOFIN,NSE,254,254.1,252.3,252.75,50887,23
2023-09-06 11:10:00,JIOFIN,NSE,252.65,253.55,252.65,252.85,24909,24
